full_name;measurement_unit;name;nomenclature_group;uid;
nomenclature_full_name;г: 1;Пшеничная мука;ингредиент;5fdca92a-f187-41e3-af1f-265571aaa096;
nomenclature_full_name;гр: 1;Сахар;ингредиент;91595076-978e-4d04-903d-89151a7ec38b;
nomenclature_full_name;гр: 1;Сливочное масло;ингредиент;28e9320b-af72-47fe-b2c6-fe6fd2f677bf;
nomenclature_full_name;шт: 1;Яйца;ингредиент;1f0b8d0d-6ea8-4a6d-a4b9-6ffbff4c09f4;
nomenclature_full_name;мл: 1;Молоко;ингредиент;0655ccf2-4716-458f-943a-bc3f8080a139;
nomenclature_full_name;гр: 1;Разрыхлитель теста;ингредиент;2ab29181-d7eb-4795-8bc9-6c3d130d9c0a;
nomenclature_full_name;гр: 1;Соль (щепотка);ингредиент;171072dc-be63-4e31-8fec-15f54531b3c6;
nomenclature_full_name;гр: 1;Ванилин(щепотка);ингредиент;70ec6b70-b67f-4090-b435-ba05a2e3546a;
nomenclature_full_name;кг: (гр 1000.0);Терпение;ингредиент;9ce3e660-d71c-455e-b7ea-3fd182540752;
nomenclature_full_name;ц: (кг 100.0);Самообладание;ингредиент;cc580d3d-3ba7-4ddc-960f-54c50ff7adb6;
